region,size(GB),VPU,max_iops,max_throughput(MBps),price($/h),daily_price,weekly_price,monthly_price(730h)
EU (Stockholm),200,0,400,46,0.0229,0.55,3.85,16.72
EU (Stockholm),200,10,12000,93,0.087,2.09,14.62,63.52
EU (Stockholm),200,20,15000,117,0.1084,2.6,18.21,79.12
EU (Stockholm),200,120,45000,351,0.335,8.04,56.28,244.57
EU (Stockholm),1000,0,2000,234,0.1208,2.9,20.29,88.16
EU (Stockholm),1000,10,50000,468,0.469,11.25,78.78,342.34
EU (Stockholm),1000,20,50000,585,0.4757,11.42,79.91,347.23
EU (Stockholm),1000,120,50000,680,0.4811,11.55,80.82,351.2
Mexico (Central),30,0,60,7,0.0035,0.08,0.58,2.52
Mexico (Central),30,10,1800,14,0.0035,0.08,0.58,2.52
Mexico (Central),30,20,2250,17,0.0035,0.08,0.58,2.52
Mexico (Central),30,120,6750,52,0.0307,0.74,5.15,22.39
Mexico (Central),200,0,400,46,0.023,0.55,3.87,16.8
Mexico (Central),200,10,12000,93,0.0884,2.12,14.84,64.5
Mexico (Central),200,20,15000,117,0.1101,2.64,18.5,80.4
Mexico (Central),200,120,45000,351,0.3409,8.18,57.28,248.89
Mexico (Central),1000,0,2000,234,0.1213,2.91,20.39,88.58
Mexico (Central),1000,10,50000,468,0.476,11.42,79.97,347.51
Mexico (Central),1000,20,50000,585,0.4828,11.59,81.1,352.42
Mexico (Central),1000,120,50000,680,0.4882,11.72,82.02,356.41
South America (Sao Paulo),30,0,60,7,0.0062,0.15,1.05,4.56
South America (Sao Paulo),30,10,1800,14,0.0062,0.15,1.05,4.56
South America (Sao Paulo),30,20,2250,17,0.0062,0.15,1.05,4.56
South America (Sao Paulo),30,120,6750,52,0.055,1.32,9.25,40.19
South America (Sao Paulo),200,0,400,46,0.0416,1.0,7.0,30.4
South America (Sao Paulo),200,10,12000,93,0.1588,3.81,26.67,115.9
South America (Sao Paulo),200,20,15000,117,0.1978,4.75,33.23,144.4
South America (Sao Paulo),200,120,45000,351,0.6117,14.68,102.77,446.58
South America (Sao Paulo),1000,0,2000,234,0.2196,5.27,36.89,160.28
South America (Sao Paulo),1000,10,50000,468,0.8556,20.53,143.74,624.57
South America (Sao Paulo),1000,20,50000,585,0.8678,20.83,145.78,633.46
South America (Sao Paulo),1000,120,50000,680,0.8776,21.06,147.44,640.68
us-east-1,30,0,60,7,0.0033,0.08,0.55,2.4
us-east-1,30,10,1800,14,0.0033,0.08,0.55,2.4
us-east-1,30,20,2250,17,0.0033,0.08,0.55,2.4
us-east-1,30,120,6750,52,0.029,0.7,4.87,21.15
us-east-1,200,0,400,46,0.0219,0.53,3.68,16.0
us-east-1,200,10,12000,93,0.0836,2.01,14.04,61.0
us-east-1,200,20,15000,117,0.1041,2.5,17.49,76.0
us-east-1,200,120,45000,351,0.322,7.73,54.09,235.04
us-east-1,1000,0,2000,234,0.1156,2.77,19.41,84.36
us-east-1,1000,10,50000,468,0.4503,10.81,75.65,328.72
us-east-1,1000,20,50000,585,0.4567,10.96,76.73,333.4
us-east-1,1000,120,50000,680,0.4619,11.09,77.6,337.2
us-east-2,30,0,60,7,0.0033,0.08,0.55,2.4
us-east-2,30,10,1800,14,0.0033,0.08,0.55,2.4
us-east-2,30,20,2250,17,0.0033,0.08,0.55,2.4
us-east-2,30,120,6750,52,0.029,0.7,4.87,21.15
us-east-2,200,0,400,46,0.0219,0.53,3.68,16.0
us-east-2,200,10,12000,93,0.0836,2.01,14.04,61.0
us-east-2,200,20,15000,117,0.1041,2.5,17.49,76.0
us-east-2,200,120,45000,351,0.322,7.73,54.09,235.04
us-east-2,1000,0,2000,234,0.1156,2.77,19.41,84.36
us-east-2,1000,10,50000,468,0.4503,10.81,75.65,328.72
us-east-2,1000,20,50000,585,0.4567,10.96,76.73,333.4
us-east-2,1000,120,50000,680,0.4619,11.09,77.6,337.2
us-west-1,30,0,60,7,0.0039,0.09,0.66,2.88
